native_country,full_name,GDP,Population,Region
Philippines,Republic of the Philippines,3.76796E+11,108116615,Asia
Germany,Federal Republic of Germany,3.84563E+12,83132799,Europe
Cambodia,Kingdom of Cambodia,27089389787,16486542,Asia
France,French Republic,2.71552E+12,67059887,Europe
Greece,Hellenic Republic,2.09853E+11,10716322,Europe
Taiwan,Taiwan,4.73971E+11,23340136,Asia
Ecuador,Ecuador,1.07436E+11,17373662,South America
Nicaragua,Republic of Nicaragua,12520915291,6545502,Central America
Hong,Hong Kong Special Administrative Region,3.6603E+11,7507400,Asia
Peru,Republic of Peru,2.26848E+11,32510453,South America
India,Republic of India,2.611E+12,1366417754,Asia
China,People's Republic of China,1.846E+13,1397715000,Asia
Italy,Italian Republic,2.00124E+12,60297396,Europe
Holand-Netherlands,Netherlands,9.0907E+11,17332850,Europe
Cuba,Republic of Cuba,1.00023E+11,11333483,Central America
South,Republic of Korea,2.029E+12,51709098,Asia
Iran,Islamic Republic of Iran,4.45345E+11,82913906,Middle East
Ireland,Ireland,3.88699E+11,5007069,Europe
Thailand,Kingdom of Thailand,5.4365E+11,69625582,Asia
Laos,Lao People's Democratic Republic,18173839128,7169455,Asia
El-Salvador,Republic of El Salvador,27022640000,6453553,Central America
Mexico,Mexico,1.25829E+12,126014024,North America
Guatemala,Republic of Guatemala,76710385880,16604026,Central America
Honduras,Republic of Honduras,25095395475,9746117,Central America
Yugoslavia,Republic of Croatia,60415553039,4067500,Europe
Puerto-Rico,Commonwealth of Puerto Rico,1.04989E+11,3193694,Central America
Jamaica,Jamaica,16458071068,2948279,Central America
Canada,Canada,1.73643E+12,36991981,North America
United-States,United States of America,2.48E+13,328239523,North America
Dominican-Republic,Dominican Republic,88941298258,10738958,Central America
Outlying-US(Guam-USVI-etc),Territory of Guam,5920000000,168801,Asia
Japan,Japan,5.08177E+12,126226568,Asia
England,United Kingdom of Great Britain and Northern Ireland,2.82711E+12,66834405,Europe
Haiti,Republic of Haiti,8498981821,11263077,Central America
Poland,Republic of Poland,5.92164E+11,37970874,Europe
Portugal,Portugal,2.37686E+11,10269417,Europe
Columbia,Colombia,3.23803E+11,50339443,South America
Scotland,United Kingdom of Great Britain and Northern Ireland,2.82711E+12,66834405,Europe
Hungary,Hungary,1.60967E+11,9769949,Europe
Vietnam,Socialist Republic of Vietnam,2.61921E+11,96462106,Asia
Trinadad&Tobago,Republic of Trinidad and Tobago,24100202834,1394973,Central America
Russia,Russia," $1,699,876,578,871 ","144,373,535",Europe
United Kingdom,United Kingdom," $2,827,113,184,696 ","66,834,405",Europe
Spain,Spain," $1,394,116,310,769 ","47,076,781",Europe
Ukraine,Ukraine," $153,781,069,118 ","44,385,155",Europe
Romania,Romania," $250,077,444,017 ","19,356,544",Europe
Netherlands,Netherlands," $909,070,395,161 ","17,332,850",Europe
Belgium,Belgium," $529,606,710,418 ","11,484,055",Europe
Czech Republic,Czech Republic," $246,489,245,495 ","10,669,709",Europe
Sweden,Sweden," $530,832,908,738 ","10,285,453",Europe
Belarus,Belarus," $63,080,457,023 ","9,466,856",Europe
Austria,Austria," $446,314,739,528 ","8,877,067",Europe
Serbia,Serbia," $51,409,167,351 ","6,944,975",Europe
Switzerland,Switzerland," $703,082,435,360 ","8,574,832",Europe
Bulgaria,Bulgaria," $86,000,000,000 ","6,975,761",Europe
Denmark,Denmark," $348,078,018,464 ","5,818,553",Europe
Finland,Finland," $268,761,201,365 ","5,520,314",Europe
Slovakia,Slovakia," $105,422,304,976 ","5,454,073",Europe
Norway,Norway," $403,336,363,636 ","5,347,896",Europe
Croatia,Croatia," $60,415,553,039 ","4,067,500",Europe
Moldova,Moldova," $11,955,435,457 ","2,657,637",Europe
Bosnia and Herzegovina,Bosnia and Herzegovina," $20,047,848,435 ","3,301,000",Europe
Albania,Albania," $15,278,077,447 ","2,854,191",Europe
Lithuania,Lithuania," $54,219,315,600 ","2,786,844",Europe
Republic of North Macedonia,Republic of North Macedonia," $10,220,781,069 ","1,836,713",Europe
Slovenia,Slovenia," $53,742,159,517 ","2,087,946",Europe
Latvia,Latvia," $34,117,202,555 ","1,912,789",Europe
Estonia,Estonia," $31,386,949,981 ","1,326,590",Europe
Montenegro,Montenegro," $5,494,736,901 ","622,137",Europe
Luxembourg,Luxembourg," $71,104,919,108 ","619,896",Europe
Malta,Malta," $14,786,156,563 ","502,653",Europe
Iceland,Iceland," $24,188,035,739 ","361,313",Europe
Andorra,Andorra," $3,154,057,987 ","77,142",Europe
Monaco,Monaco," $7,184,844,193 ","38,964",Europe
Liechtenstein,Liechtenstein," $6,552,858,739 ","38,019",Europe
San Marino,San Marino," $1,637,931,034 ","33,860",Europe
